"Correlation matrix (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
"powerlaw_exponent_in_degree","0,504","0,445","0,666","0,461","0,056","0,220","0,220","0,220","0,533","0,498","0,539","0,184","0,691","0,059","0,178","0,258","0,549","0,225","0,270","0,953","0,273","0,005","0,729",0,"0,768","0,562","0,779","0,980","0,940","0,728","0,731","0,181","0,055"
"powerlaw_exponent_in_degree_dmin","0,734","0,072","0,481","0,060","0,001","0,699","0,699","0,699","0,179","0,055","0,173","0,045","0,998","0,711","0,010","0,032","0,672","0,698","0,612","0,971","0,641","0,757","< 0,0001","0,768",0,"< 0,0001","0,964","0,073","0,748","0,038","0,857","0,045","0,715"
"stddev_in_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,124","0,124","0,124","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,041","< 0,0001","< 0,0001","0,094","0,122","0,606","0,974","0,172","0,853","< 0,0001","0,562","< 0,0001",0,"< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,040"
"stddev_out_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,331","0,331","0,331","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,272","0,328","0,984","0,800","0,195","0,609","0,228","0,779","0,964","< 0,0001",0,"< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001"
"coefficient_variation_in_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,084","0,030","0,030","0,030","< 0,0001","0,026","< 0,0001","0,012","< 0,0001","0,521","< 0,0001","< 0,0001","0,018","0,029","0,435","0,076","0,027","0,901","0,020","0,980","0,073","< 0,0001","< 0,0001",0,"< 0,0001","< 0,0001","0,000","0,012","0,540"
"coefficient_variation_out_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,814","0,239","0,239","0,239","< 0,0001","0,889","< 0,0001","0,688","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,184","0,236","0,775","0,711","0,080","0,927","0,940","0,940","0,748","< 0,0001","< 0,0001","< 0,0001",0,"0,052","< 0,0001","0,693","< 0,0001"
"var_in_degree","0,011","< 0,0001","< 0,0001","0,000","< 0,0001","0,596","0,596","0,596","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,001","< 0,0001","< 0,0001","0,563","0,594","0,556","0,820","0,533","0,687","< 0,0001","0,728","0,038","< 0,0001","< 0,0001","< 0,0001","0,052",0,"< 0,0001","< 0,0001","0,001"
"var_out_degree","0,000","< 0,0001","< 0,0001","0,001","< 0,0001","0,607","0,607","0,607","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,573","0,605","0,875","0,768","0,534","0,532","0,147","0,731","0,857","< 0,0001","< 0,0001","0,000","< 0,0001","< 0,0001",0,"< 0,0001","< 0,0001"
"centralization_in_degree","0,625","< 0,0001","< 0,0001","0,670","< 0,0001","0,380","0,380","0,380","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,003","0,070","0,000","< 0,0001","0,167","0,385","0,265","0,032","< 0,0001","0,969","0,004","0,181","0,045","< 0,0001","< 0,0001","0,012","0,693","< 0,0001","< 0,0001",0,"0,072"
"centralization_out_degree","0,689","0,410","0,001","0,583","0,034","< 0,0001","< 0,0001","< 0,0001","0,192","< 0,0001","0,209","0,062","0,008","< 0,0001","0,990","0,219","< 0,0001","< 0,0001","0,958","0,916","0,029","0,562","0,981","0,055","0,715","0,040","< 0,0001","0,540","< 0,0001","0,001","< 0,0001","0,072",0
